# Apicurio Registry — workflow 'Verify' (.github/workflows/verify.yaml, id 1200448), branch 2.6.x
# query:      gh api "repos/Apicurio/apicurio-registry/actions/workflows/1200448/runs?per_page=10&status=completed&branch=2.6.x"
# job filter: job name matches /native/i  (per-run: gh api repos/Apicurio/apicurio-registry/actions/runs/<id>/jobs)
# captured:   2026-07-29T15:16:38Z
# total_count reported by the API for THIS query (branch filter applies; GitHub also ages out old runs): 10

RUN_ID         BRANCH                               RUN_SHA   WORKFLOW_CONCL  CREATED_AT             NATIVE_JOB
16780646381    2.6.x                                f52d8870  success         2025-08-06T14:59:43Z   Build and Test In Memory native images => success; Build and Test SQL native images => success
16327722821    2.6.x                                4be29ba5  failure         2025-07-16T18:47:30Z   Build and Test In Memory native images => success; Build and Test SQL native images => failure
16327719706    2.6.x                                cee5ea80  cancelled       2025-07-16T18:47:20Z   Build and Test SQL native images => cancelled; Build and Test In Memory native images => cancelled
16266971865    2.6.x                                5548c4f0  success         2025-07-14T12:34:04Z   Build and Test In Memory native images => success; Build and Test SQL native images => success
15985387936    2.6.x                                2471d8d7  success         2025-06-30T22:54:43Z   Build and Test In Memory native images => success; Build and Test SQL native images => success
15740112725    2.6.x                                9d99ecad  failure         2025-06-18T17:57:47Z   Build and Test In Memory native images => failure; Build and Test SQL native images => success
15708161273    2.6.x                                b013d78e  success         2025-06-17T13:10:14Z   Build and Test In Memory native images => success; Build and Test SQL native images => success
15708156492    2.6.x                                46845b1f  cancelled       2025-06-17T13:10:02Z   Build and Test SQL native images => cancelled; Build and Test In Memory native images => cancelled
15707237529    2.6.x                                0289e1fe  success         2025-06-17T12:29:27Z   Build and Test In Memory native images => success; Build and Test SQL native images => success
15634107481    2.6.x                                dacc5221  success         2025-06-13T12:05:04Z   Build and Test SQL native images => success; Build and Test In Memory native images => success

# ---- DERIVED TALLY over the 10 runs above (window 2025-06-13 .. 2025-08-06) ----
# runs listed:            10
# workflow conclusions:
#           2 cancelled
#           2 failure
#           6 success
# native-job conclusions (one line per matching job across all runs listed):
#           4 cancelled
#           2 failure
#          14 success
# runs with NO matching native job at all: 0
