Serving HTTP on 127.0.0.1 port 8000 (http://127.0.0.1:8000/) ...
127.0.0.1 - - [26/Jul/2026 08:02:14] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:14] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:14] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:14] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:14] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:18] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:18] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:18] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:18] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:21] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:21] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:22] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 08:03:22] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar.sha1 HTTP/1.1" 200 -
