Serving HTTP on 127.0.0.1 port 8000 (http://127.0.0.1:8000/) ...
127.0.0.1 - - [26/Jul/2026 07:46:37] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:21] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:36] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:37] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:37] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 07:47:37] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar.sha1 HTTP/1.1" 200 -
