Class Name, Initialization Kind, Reason for Initialization
agent.Invariants, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.Invariants$Result, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.Invariants$Violation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.ResultStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.ResultStore$1, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.ResultStore$Entry, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
boolean, BUILD_TIME, primitive types are initialized at build time
boolean[], BUILD_TIME, arrays are initialized at build time
boolean[][], BUILD_TIME, arrays are initialized at build time
byte, BUILD_TIME, primitive types are initialized at build time
byte[], BUILD_TIME, arrays are initialized at build time
byte[][], BUILD_TIME, arrays are initialized at build time
char, BUILD_TIME, primitive types are initialized at build time
char[], BUILD_TIME, arrays are initialized at build time
char[][], BUILD_TIME, arrays are initialized at build time
char[][][], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.Brotli4jLoader, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI$Status, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI$Status[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.decoder.DecoderJNI$Wrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.BrotliEncoderChannel, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder$Mode, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder$Mode[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.encoder.Encoder$Parameters, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI$Operation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI$Operation[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.encoder.EncoderJNI$Wrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.basquin.quarkus.runtime.BasquinBoundaryFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.basquin.quarkus.runtime.BasquinBoundaryFilter$$Lambda/0x0000000052b48000, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.basquin.quarkus.runtime.BasquinControlHandler, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.basquin.quarkus.runtime.BasquinControlHandler$CoverageOutcome, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.basquin.quarkus.runtime.BasquinControlHandler$DefectOutcome, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JacksonAnnotation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JacksonAnnotationValue, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JacksonAnnotationValue[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JacksonAnnotation[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JacksonAnnotationsInside, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JacksonAnnotationsInside[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JacksonInject, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JacksonInject$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JacksonInject[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonAlias, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonAlias[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonAnyGetter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonAnyGetter[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonAnySetter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonAnySetter[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonAutoDetect, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonAutoDetect$1, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonAutoDetect[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonBackReference, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonBackReference[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonCreator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonCreator$Mode, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonCreator$Mode[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonCreator[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonDeserializeAs, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonDeserializeAs[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonEnumDefaultValue, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonEnumDefaultValue[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonFilter[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonFormat, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonFormat$Feature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonFormat$Feature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonFormat$Features, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonFormat$Shape, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonFormat$Shape[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonFormat$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonFormat[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonGetter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonGetter[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonIdentityInfo, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIdentityInfo[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonIgnore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIgnoreProperties, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIgnoreProperties[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonIgnoreType, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIgnoreType[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonIgnore[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonInclude, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonInclude$Include, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonInclude$Include[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonInclude$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonInclude$Value[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonIncludeProperties, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIncludeProperties$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonIncludeProperties[], BUILD_TIME, arrays are initialized at build time
