Serving HTTP on 127.0.0.1 port 8010 (http://127.0.0.1:8010/) ...
127.0.0.1 - - [10/Aug/2026 19:55:26] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:13] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:13] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:13] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:13] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:14] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:14] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:14] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:14] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:29] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:29] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:29] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [10/Aug/2026 19:57:29] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar.sha1 HTTP/1.1" 200 -
