Class Name, Initialization Kind, Reason for Initialization
agent.Invariants, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.Invariants$Result, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.Invariants$Violation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.ResultStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.ResultStore$1, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
agent.ResultStore$Entry, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
boolean, BUILD_TIME, primitive types are initialized at build time
boolean[], BUILD_TIME, arrays are initialized at build time
boolean[][], BUILD_TIME, arrays are initialized at build time
byte, BUILD_TIME, primitive types are initialized at build time
byte[], BUILD_TIME, arrays are initialized at build time
byte[][], BUILD_TIME, arrays are initialized at build time
char, BUILD_TIME, primitive types are initialized at build time
char[], BUILD_TIME, arrays are initialized at build time
char[][], BUILD_TIME, arrays are initialized at build time
char[][][], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.Brotli4jLoader, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI$Status, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI$Status[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.decoder.DecoderJNI$Wrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.BrotliEncoderChannel, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder$Mode, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder$Mode[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.encoder.Encoder$Parameters, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI$Operation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI$Operation[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.encoder.EncoderJNI$Wrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.AtomicAction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.StateManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.CoordinatorEnvironmentBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.CoordinatorEnvironmentBeanMBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.CoreEnvironmentBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.CoreEnvironmentBeanException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.CoreEnvironmentBeanMBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.MetaObjectStoreEnvironmentBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.MetaObjectStoreEnvironmentBean$$Lambda/0x000000002bb2b6d8, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.arjuna.ats.arjuna.common.MetaObjectStoreEnvironmentBean$$Lambda/0x000000002bb2b918, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.arjuna.ats.arjuna.common.MetaObjectStoreEnvironmentBean$$Lambda/0x000000002bb2bb58, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.arjuna.ats.arjuna.common.MetaObjectStoreEnvironmentBean$$Lambda/0x000000002bb2bd90, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.arjuna.ats.arjuna.common.MetaObjectStoreEnvironmentBean$$Lambda/0x000000002bb2e000, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.arjuna.ats.arjuna.common.ObjectStoreEnvironmentBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.ObjectStoreEnvironmentBeanMBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.RecoveryEnvironmentBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.RecoveryEnvironmentBeanMBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.Uid, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.arjPropertyManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.common.recoveryPropertyManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.AbstractRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.ActionHierarchy, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.ActionInfo, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.ActionInfo[], BUILD_TIME, arrays are initialized at build time
com.arjuna.ats.arjuna.coordinator.ActionManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.ActionStatus, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.AsyncBeforeSynchronization, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.BasicAction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.CheckedAction, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.CheckedActionFactory, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.ExceptionDeferrer, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.OnePhaseResource, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.Reapable, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.RecordList, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.RecordListIterator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.RecordType, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.StackTraceCapture, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.SynchronizationRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.SynchronizationRecord[], BUILD_TIME, arrays are initialized at build time
com.arjuna.ats.arjuna.coordinator.TransactionReaper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.TwoPhaseCoordinator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.TwoPhaseOutcome, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.TxControl, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.TxStats, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.TxStatsMBean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.abstractrecord.RecordTypeManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.coordinator.abstractrecord.RecordTypeMap, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.exceptions.FatalError, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.exceptions.ObjectStoreException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.logging.arjunaI18NLogger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.logging.arjunaI18NLogger_$logger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.logging.tsLogger, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.arjuna.objectstore.BaseStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
