Serving HTTP on 127.0.0.1 port 8010 (http://127.0.0.1:8010/) ...
127.0.0.1 - - [11/Aug/2026 09:06:11] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:37] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:37] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:37] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:37] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-quarkus/0.3.0/basquin-quarkus-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-core/0.3.0/basquin-core-0.3.0.jar.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.pom.sha1 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:06:38] "GET /com/basquin/basquin-quarkus-deployment/0.3.0/basquin-quarkus-deployment-0.3.0.jar.sha1 HTTP/1.1" 200 -
