Class Name, Initialization Kind, Reason for Initialization
boolean, BUILD_TIME, primitive types are initialized at build time
boolean[], BUILD_TIME, arrays are initialized at build time
boolean[][], BUILD_TIME, arrays are initialized at build time
byte, BUILD_TIME, primitive types are initialized at build time
byte[], BUILD_TIME, arrays are initialized at build time
byte[][], BUILD_TIME, arrays are initialized at build time
char, BUILD_TIME, primitive types are initialized at build time
char[], BUILD_TIME, arrays are initialized at build time
char[][], BUILD_TIME, arrays are initialized at build time
char[][][], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.Brotli4jLoader, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI$Status, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.decoder.DecoderJNI$Status[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.decoder.DecoderJNI$Wrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.BrotliEncoderChannel, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder$Mode, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.Encoder$Mode[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.encoder.Encoder$Parameters, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI$Operation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.aayushatharva.brotli4j.encoder.EncoderJNI$Operation[], BUILD_TIME, arrays are initialized at build time
com.aayushatharva.brotli4j.encoder.EncoderJNI$Wrapper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.basquin.spike.BoundaryProbe, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.basquin.spike.BoundaryProbe$$Lambda/0x000000003849f590, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
