== idle series (30 samples, 1s apart, NO requests between) ==
1 4194304,13416005632,13416005632
2 4194304,13416005632,13416005632
3 4194304,13416005632,13416005632
4 4718592,13416005632,13416005632
5 4718592,13416005632,13416005632
6 5242880,13416005632,13416005632
7 5242880,13416005632,13416005632
8 5242880,13416005632,13416005632
9 5242880,13416005632,13416005632
10 5242880,13416005632,13416005632
11 5242880,13416005632,13416005632
12 5242880,13416005632,13416005632
13 5242880,13416005632,13416005632
14 5242880,13416005632,13416005632
15 5242880,13416005632,13416005632
16 5242880,13416005632,13416005632
17 5242880,13416005632,13416005632
18 5242880,13416005632,13416005632
19 5242880,13416005632,13416005632
20 5242880,13416005632,13416005632
21 5242880,13416005632,13416005632
22 5242880,13416005632,13416005632
23 5767168,13416005632,13416005632
24 5767168,13416005632,13416005632
25 5767168,13416005632,13416005632
26 5767168,13416005632,13416005632
27 5767168,13416005632,13416005632
28 5767168,13416005632,13416005632
29 5767168,13416005632,13416005632
30 5767168,13416005632,13416005632
== alloc: used before / after /alloc ==
before 5767168,13416005632,13416005632
after  10485760,13416005632,13416005632
== post-response quiescence: 5 samples after the last request ==
1 10485760,13416005632,13416005632
2 10485760,13416005632,13416005632
3 10485760,13416005632,13416005632
4 10485760,13416005632,13416005632
5 10485760,13416005632,13416005632
== System.gc() before,after ==
10485760,3670016
