elapsedMs,iterations,itersPerSec,lastLatencyMs,meanLatencyMs,maxLatencyMs,lastHeapKb,maxHeapKb,threads,crashes,leaks,violLatency,violHeap,violThread,coveredEdges,totalEdges,coveragePct
2004,34,16.97,28,31,77,458,458,10,0,0,0,0,0,0,0,0.00
4017,72,17.92,28,29,77,0,902,10,0,0,0,0,0,0,0,0.00
6019,109,18.11,27,28,77,229,902,10,0,0,0,0,0,0,0,0.00
8021,147,18.33,28,28,77,0,902,10,0,0,0,0,0,0,0,0.00
10023,185,18.46,27,28,77,0,902,10,0,0,0,0,0,0,0,0.00
12025,223,18.54,27,28,77,0,902,10,0,0,0,0,0,0,0,0.00
14028,261,18.61,27,27,77,0,902,10,0,0,0,0,0,0,0,0.00
16030,299,18.65,27,27,77,360,902,10,0,0,0,0,0,0,0,0.00
18032,337,18.69,27,27,77,0,902,10,0,0,0,0,0,0,0,0.00
20034,375,18.72,27,27,77,0,902,10,0,0,0,0,0,0,0,0.00
22036,413,18.74,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
24038,451,18.76,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
26041,489,18.78,27,27,77,648,902,10,0,0,0,0,0,0,0,0.00
28043,528,18.83,27,27,77,0,902,10,0,0,0,0,0,0,0,0.00
30045,566,18.84,27,27,77,0,902,10,0,0,0,0,0,0,0,0.00
32047,605,18.88,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
34049,643,18.88,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
36053,681,18.89,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
38055,720,18.92,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
40057,758,18.92,26,27,77,0,902,10,0,0,0,0,0,0,0,0.00
42058,797,18.95,27,27,77,0,902,10,0,0,0,0,0,0,0,0.00
44060,835,18.95,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
46062,874,18.97,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
48064,912,18.97,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
50066,951,18.99,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
52068,989,18.99,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
54070,1028,19.01,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
56072,1067,19.03,27,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
58074,1105,19.03,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
60076,1144,19.04,29,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
62078,1183,19.06,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
64080,1221,19.05,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
66082,1260,19.07,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
68084,1299,19.08,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
70086,1338,19.09,26,26,77,0,1024,10,0,0,0,0,0,0,0,0.00
72088,1376,19.09,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
74090,1415,19.10,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
76092,1454,19.11,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
78094,1493,19.12,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
80095,1532,19.13,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
82101,1570,19.12,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
84103,1609,19.13,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
86105,1648,19.14,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
88106,1687,19.15,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
90108,1726,19.15,25,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
92110,1764,19.15,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
94112,1803,19.16,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
96114,1842,19.16,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
98116,1881,19.17,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
100118,1920,19.18,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
102120,1959,19.18,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
104121,1997,19.18,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
106123,2036,19.19,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
108125,2075,19.19,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
110127,2114,19.20,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
112129,2153,19.20,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
114131,2192,19.21,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
116133,2231,19.21,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
118134,2269,19.21,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
120136,2308,19.21,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
122138,2347,19.22,26,26,77,0,1781,10,0,0,0,0,0,0,0,0.00
