elapsedMs,iterations,itersPerSec,lastLatencyMs,meanLatencyMs,maxLatencyMs,lastHeapKb,maxHeapKb,threads,crashes,leaks,violLatency,violHeap,violThread,coveredEdges,totalEdges,coveragePct
2004,29,14.47,7,42,861,0,474,10,0,0,0,0,0,0,0,0.00
4026,75,18.63,74,26,861,0,1351,10,0,0,0,0,0,0,0,0.00
6028,89,14.76,7,41,861,450,1351,10,0,0,0,0,0,0,0,0.00
8030,142,17.68,19,30,861,458,1351,10,0,0,0,0,0,0,0,0.00
10032,192,19.14,19,26,861,0,1351,10,0,0,0,0,0,0,0,0.00
12034,238,19.78,6,24,861,0,1351,10,0,0,0,0,0,0,0,0.00
14037,275,19.59,73,25,861,0,1351,10,0,0,0,0,0,0,0,0.00
16039,292,18.21,17,29,861,0,1351,10,0,0,0,0,0,0,0,0.00
18041,341,18.90,18,27,861,686,1351,10,0,0,0,0,0,0,0,0.00
20043,395,19.71,18,24,861,0,1351,10,0,0,0,0,0,0,0,0.00
22045,438,19.87,6,24,861,678,1351,10,0,0,0,0,0,0,0,0.00
24047,483,20.09,75,23,861,0,1351,10,0,0,0,0,0,0,0,0.00
26049,495,19.00,88,26,861,184,1351,10,0,0,0,0,0,0,0,0.00
28051,549,19.57,5,25,861,0,1351,10,0,0,0,0,0,0,0,0.00
30053,600,19.96,5,24,861,0,1351,10,0,0,0,0,0,0,0,0.00
32055,648,20.22,6,23,861,0,1351,10,0,0,0,0,0,0,0,0.00
34057,689,20.23,72,23,861,0,1351,10,0,0,0,0,0,0,0,0.00
36060,705,19.55,76,25,861,1010,1351,10,0,0,0,0,0,0,0,0.00
38062,754,19.81,6,24,861,0,1351,10,0,0,0,0,0,0,0,0.00
40064,810,20.22,5,23,861,0,1351,10,0,0,0,0,0,0,0,0.00
42066,852,20.25,5,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
44068,897,20.35,74,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
46071,910,19.75,6,24,861,0,2034,10,0,0,0,0,0,0,0,0.00
48073,963,20.03,5,24,861,0,2034,10,0,0,0,0,0,0,0,0.00
50075,1014,20.25,6,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
52077,1059,20.34,6,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
54079,1099,20.32,74,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
56081,1114,19.86,75,24,861,0,2034,10,0,0,0,0,0,0,0,0.00
58083,1162,20.01,5,24,861,0,2034,10,0,0,0,0,0,0,0,0.00
60085,1216,20.24,17,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
62087,1259,20.28,5,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
64089,1304,20.35,76,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
66091,1315,19.90,565,24,861,0,2034,10,0,0,0,0,0,0,0,0.00
68093,1366,20.06,18,24,861,0,2034,10,0,0,0,0,0,0,0,0.00
70095,1415,20.19,56,23,861,0,2034,10,0,0,0,0,0,0,0,0.00
72097,1464,20.31,5,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
74099,1504,20.30,72,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
76101,1520,19.97,77,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
78103,1565,20.04,17,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
80105,1619,20.21,17,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
82107,1663,20.25,6,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
84109,1708,20.31,73,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
86111,1721,19.99,179,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
88113,1767,20.05,17,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
90115,1817,20.16,17,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
92117,1865,20.25,18,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
94119,1906,20.25,73,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
96121,1923,20.01,74,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
98123,1963,20.01,5,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
100126,2017,20.14,18,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
102128,2060,20.17,6,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
104130,2107,20.23,72,23,861,0,2048,10,0,0,0,0,0,0,0,0.00
106132,2121,19.98,186,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
108133,2160,19.98,6,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
110136,2208,20.05,23,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
112139,2253,20.09,6,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
114141,2293,20.09,300,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
116142,2311,19.90,75,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
118144,2340,19.81,18,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
120146,2394,19.93,21,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
122148,2438,19.96,15,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
124150,2483,20.00,75,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
126152,2497,19.79,174,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
128154,2534,19.77,5,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
130156,2586,19.87,30,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
132158,2635,19.94,5,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
134160,2675,19.94,166,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
136162,2693,19.78,76,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
138163,2725,19.72,21,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
140165,2782,19.85,6,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
142167,2826,19.88,21,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
144169,2871,19.91,75,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
146171,2889,19.76,182,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
148173,2917,19.69,17,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
150175,2971,19.78,31,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
152177,3016,19.82,18,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
154178,3062,19.86,72,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
156180,3075,19.69,72,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
158182,3108,19.65,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
160184,3156,19.70,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
162186,3208,19.78,5,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
164188,3246,19.77,78,24,861,0,2048,10,0,0,0,0,0,0,0,0.00
166190,3264,19.64,73,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
168192,3289,19.56,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
170193,3342,19.64,21,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
172195,3392,19.70,17,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
174197,3433,19.71,73,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
176199,3447,19.56,175,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
178201,3472,19.48,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
180203,3523,19.55,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
182205,3576,19.63,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
184207,3616,19.63,78,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
186208,3634,19.52,74,25,861,1024,2048,10,0,0,0,0,0,0,0,0.00
188211,3652,19.40,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
190212,3706,19.48,5,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
192214,3759,19.56,5,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
194216,3798,19.56,74,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
196218,3814,19.44,74,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
198220,3835,19.35,6,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
200222,3887,19.41,5,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
202224,3941,19.49,18,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
204226,3978,19.48,119,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
206228,3994,19.37,78,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
208230,4013,19.27,6,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
210232,4064,19.33,5,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
212233,4117,19.40,18,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
214235,4156,19.40,123,25,861,0,2048,10,0,0,0,0,0,0,0,0.00
216237,4171,19.29,76,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
218239,4190,19.20,22,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
220240,4240,19.25,17,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
222242,4294,19.32,27,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
224244,4331,19.31,74,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
226246,4348,19.22,174,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
228248,4364,19.12,6,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
230250,4414,19.17,25,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
232252,4467,19.23,18,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
234254,4508,19.24,180,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
236256,4524,19.15,74,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
238258,4539,19.05,504,26,861,1010,2048,10,0,0,0,0,0,0,0,0.00
240260,4589,19.10,6,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
242262,4644,19.17,17,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
244264,4682,19.17,75,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
246265,4701,19.09,73,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
248267,4711,18.98,360,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
250269,4766,19.04,17,26,861,1024,2048,10,0,0,0,0,0,0,0,0.00
252271,4816,19.09,17,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
254273,4859,19.11,72,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
256275,4872,19.01,73,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
258278,4889,18.93,72,27,861,1024,2048,10,0,0,0,0,0,0,0,0.00
260280,4935,18.96,5,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
262282,4991,19.03,17,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
264284,5028,19.02,73,26,861,0,2048,10,0,0,0,0,0,0,0,0.00
266285,5047,18.95,76,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
268287,5059,18.86,318,27,861,1024,2048,10,0,0,0,0,0,0,0,0.00
270289,5108,18.90,5,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
272291,5159,18.95,5,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
274293,5202,18.97,73,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
276295,5215,18.87,123,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
278297,5232,18.80,73,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
280299,5275,18.82,5,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
282301,5331,18.88,5,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
284303,5370,18.89,75,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
286305,5389,18.82,74,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
288307,5402,18.74,309,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
290308,5448,18.77,6,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
292310,5497,18.81,6,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
294312,5543,18.83,75,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
296314,5557,18.75,314,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
298316,5576,18.69,74,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
300318,5615,18.70,17,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
302320,5669,18.75,17,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
304321,5708,18.76,21,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
306323,5727,18.70,72,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
308325,5742,18.62,190,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
310327,5783,18.64,6,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
312329,5834,18.68,25,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
314331,5874,18.69,73,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
316332,5891,18.62,182,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
318334,5908,18.56,73,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
320336,5944,18.56,41,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
322338,5998,18.61,6,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
324340,6041,18.63,170,27,861,0,2048,10,0,0,0,0,0,0,0,0.00
326342,6058,18.56,73,28,861,1024,2048,10,0,0,0,0,0,0,0,0.00
328344,6074,18.50,121,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
330345,6108,18.49,5,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
332347,6163,18.54,5,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
334349,6205,18.56,72,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
336351,6221,18.50,135,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
338353,6238,18.44,73,28,861,0,2048,10,0,0,0,0,0,0,0,0.00
